Spanish,English
como,as
I,I
su,his
que,that
‚l,he
era,was
para,for
en,on
son,are
con,with
ellos,they
ser,be
en,at
uno,one
tener,have
este,this
desde,from
por,by
caliente,hot
palabra,word
pero,but
qu‚,what
algunos,some
es,is
lo,it
usted,you
o,or
tenido,had
la,the
de,of
a,to
y,and
un,a
en,in
nos,we
lata,can
fuera,out
otros,other
eran,were
que,which
hacer,do
su,their
tiempo,time
si,if
lo har ,will
c¢mo,how
dicho,said
un,an
cada,each
decir,tell
hace,does
conjunto,set
tres,three
querer,want
aire,air
as¡,well
tambi‚n,also
jugar,play
peque¤o,small
fin,end
poner,put
casa,home
leer,read
mano,hand
puerto,port
grande,large
deletrear,spell
a¤adir,add
incluso,even
tierra,land
aqu¡,here
debe,must
grande,big
alto,high
tal,such
siga,follow
acto,act
por qu‚,why
preguntar,ask
hombres,men
cambio,change
se fue,went
luz,light
tipo,kind
fuera,off
necesitar ,need
casa,house
imagen,picture
tratar,try
nosotros,us
de nuevo,again
animal,animal
punto,point
madre,mother
mundo,world
cerca,near
construir,build
auto,self
tierra,earth
padre,father
cualquier,any
nuevo,new
trabajo,work
parte,part
tomar,take
conseguir,get
lugar,place
hecho,made
vivir,live
donde,where
despu‚s,after
espalda,back
poco,little
s¢lo,only
ronda,round
hombre,man
a¤os,year
vino,came
show,show
cada,every
buena,good
me,me
dar,give
nuestro,our
bajo,under
nombre,name
muy,very
a trav‚s de,through
s¢lo,just
forma,form
frase,sentence
gran,great
pensar,think
decir,say
ayudar,help
bajo,low
l¡nea,line
ser distinto,differ
"a su vez,",turn
causa,cause
mucho,much
significar ,mean
antes,before
movimiento,move
derecho,right
ni¤o,boy
viejo,old
demasiado,too
misma,same
ella,she
todo,all
hay,there
cuando,when
hasta,up
uso,use
su,your
camino,way
acerca,about
muchos,many
entonces,then
ellos,them
escribir,write
har¡a,would
como,like
as¡,so
‚stos,these
su,her
largo,long
hacer,make
cosa,thing
ver,see
‚l,him
dos,two
tiene,has
buscar,look
m s,more
d¡a,day
pod¡a,could
ir,go
venir,come
hizo,did
n£mero,number
sonar,sound
no,no
m s,most
personas,people
mi,my
sobre,over
saber,know
agua,water
que,than
llamada,call
primero,first
que,who
puede,may
abajo,down
lado,side
estado,been
ahora,now
encontrar,find
cabeza,head
de pie,stand
propio,own
p gina,page
deber¡a,should
pa¡s,country
encontrado,found
respuesta,answer
escuela,school
crecer,grow
estudio,study
todav¡a,still
aprender,learn
planta,plant
cubierta,cover
alimentos,food
sol,sun
cuatro,four
entre,between
estado,state
mantener,keep
ojo,eye
nunca,never
£ltimo,last
dejar,let
pensado,thought
ciudad,city
 rbol,tree
cruzar,cross
granja,farm
duro,hard
inicio,start
podr¡a,might
historia,story
sierra,saw
ahora,far
mar,sea
dibujar,draw
izquierda,left
tarde,late
ejecutar,run
no,don?t
mientras,while
prensa,press
Cerrar,close
noche,night
reales,real
vida,life
pocos,few
norte,north
libro,book
llevar,carry
tom¢,took
ciencia,science
comer,eat
habitaci¢n,room
amigo,friend
comenz¢,began
gusta,idea
peces,fish
monta¤a,mountain
Det‚ngase,stop
una vez,once
base de,base
escuchar,hear
caballo,horse
cortada,cut
seguro,sure
ver,watch
colores,color
cara,face
madera,wood
principal,main
abierta,open
parecer,seem
juntos,together
pr¢ximo,next
blanco,white
ni¤os,children
comenzar,begin
conseguido,got
caminar,walk
ejemplo,example
aliviar,ease
papel,paper
grupo,group
siempre,always
m£sica,music
los,those
ambos,both
marca,mark
menudo,often
carta,letter
hasta,until
milla,mile
r¡o,river
coche,car
pies,feet
cuidado,care
segundo,second
suficiente,enough
llano,plain
chica,girl
habitual,usual
joven,young
listo,ready
por encima de,above
nunca,ever
rojo,red
lista,list
aunque,though
sentir,feel
charla,talk
p jaro,bird
pronto,soon
cuerpo,body
perro,dog
familia,family
directa,direct
plantear,pose
dejar,leave
canci¢n,song
medir,measure
puerta,door
producto,product
negro,black
corto,short
numeral,numeral
clase,class
viento,wind
pregunta,question
suceder,happen
completo,complete
buque,ship
zona,area
medio,half
roca,rock
orden,order
fuego,fire
sur,south
problema,problem
pieza,piece
dicho,told
sab¡a,knew
pasar,pass
desde,since
cima,top
todo,whole
rey,king
calle,street
pulgadas,inch
multiplicar,multiply
nada,nothing
curso,course
quedarse,stay
rueda,wheel
completo,full
fuerza,force
azul,blue
objeto,object
decidir,decide
superficie,surface
profunda,deep
luna,moon
isla,island
pie,foot
sistema,system
ocupado,busy
prueba,test
registro,record
barco,boat
com£n,common
oro,gold
posible,possible
plano,plane
lugar,stead
seco,dry
maravilla,wonder
risa,laugh
mil,thousand
hace,ago
corri¢,ran
comprobar,check
juego,game
forma,shape
equiparar,equate
caliente,hot
se¤orita,miss
tra¡do,brought
calor,heat
nieve,snow
neum ticos,tire
traer,bring
s¡,yes
distante,distant
llenar,fill
al este,east
pintar,paint
idioma,language
entre,among
unidad,unit
potencia,power
ciudad,town
fina,fine
cierto,certain
volar,fly
caer,fall
conducir,lead
grito,cry
oscuro,dark
m quina,machine
nota,note
espere,wait
plan de,plan
figura,figure
estrella,star
caja,box
sustantivo,noun
campo,field
resto,rest
correcta,correct
capaz,able
libra,pound
hecho,done
belleza,beauty
unidad,drive
destacado,stood
contener,contain
delante,front
ense¤ar,teach
semana,week
£ltimo,final
dio,gave
verde,green
oh,oh
r pido,quick
desarrollar,develop
oc‚ano,ocean
caliente,warm
libre,free
minuto,minute
fuerte,strong
especial,special
mente,mind
detr s,behind
claro,clear
cola,tail
Produce,produce
hecho,fact
espacio,space
o¡do,heard
mejor,best
horas,hour
mejor,better
verdadero,TRUE
durante,during
cien,hundred
cinco,five
recordar,remember
paso,step
temprana,early
mantenga,hold
oeste,west
suelo,ground
inter‚s,interest
llegar,reach
r pido,fast
verbo,verb
cantar,sing
escuchar,listen
seis,six
mesa,table
viajes,travel
menos,less
ma¤ana,morning
diez,ten
sencilla,simple
varios,several
vocal,vowel
hacia,toward
guerra,war
sentar,lay
contra,against
patr¢n,pattern
lenta,slow
centro,center
amar,love
persona,person
dinero,money
servir,serve
aparecer ,appear
carretera,road
mapa,map
lluvia,rain
regla,rule
gobernar,govern
Halar,pull
fr¡o,cold
aviso,notice
voz,voice
energ¡a,energy
caza,hunt
probable,probable
cama,bed
hermano,brother
huevo,egg
paseo,ride
celular,cell
creer,believe
quiz s,perhaps
recoger,pick
repentina,sudden
contar,count
plaza,square
raz¢n,reason
longitud,length
representar,represent
arte,art
sujeto,subject
regi¢n,region
tama¤o,size
variar,vary
resolver,settle
hablar,speak
peso,weight
general,general
hielo,ice
materia,matter
c¡rculo,circle
par,pair
incluir,include
brecha,divide
s¡laba,syllable
sentido,felt
gran,grand
bola,ball
a£n,yet
ola,wave
caer,drop
coraz¢n,heart
am,am
presente,present
pesada,heavy
danza,dance
motor,engine
posici¢n,position
brazo,arm
amplio,wide
vela,sail
materiales,material
fracci¢n,fraction
bosque,forest
sentarse,sit
carrera,race
ventana,window
tienda,store
verano,summer
tren,train
sue¤o,sleep
demostrar,prove
solitario,lone
pierna,leg
ejercicio,exercise
pared,wall
capturas,catch
monte,mount
desear,wish
cielo,sky
bordo,board
alegr¡a,joy
invierno,winter
sat‚lite,sat
escrito,written
salvaje,wild
instrumento,instrument
guardado,kept
vidrio,glass
hierba,grass
vaca,cow
trabajo,job
borde,edge
signo,sign
visita,visit
pasado,past
suave,soft
diversi¢n,fun
brillante,bright
gas,gas
tiempo,weather
mes,month
millones,million
soportar,bear
acabado,finish
feliz,happy
esperanza,hope
flor,flower
vestir,clothe
extra¤o,strange
se ha ido,gone
comercio,trade
melod¡a,melody
viaje,trip
oficina,office
recibir,receive
fila,row
boca,mouth
exacta,exact
s¡mbolo,symbol
morir,die
menos,least
problema,trouble
grito,shout
excepto,except
escribi¢,wrote
semilla,seed
tono,tone
unirse,join
sugerir,suggest
limpia,clean
rotura,break
dama,lady
patio,yard
aumentando,rise
mal,bad
golpe,blow
aceite,oil
sangre,blood
tocar,touch
creci¢,grew
ciento,cent
mezclar,mix
equipo,team
alambre,wire
costo,cost
perdido,lost
marr¢n,brown
desgaste,wear
jard¡n,garden
igual,equal
enviado,sent
elegir,choose
cay¢,fell
encajar,fit
fluir,flow
justo,fair
banco,bank
recoger,collect
guardar,save
el control,control
decimal,decimal
o¡do,ear
dem s,else
bastante,quite
rompi¢,broke
caso,case
medio,middle
matar,kill
hijo,son
lago,lake
momento,moment
escala,scale
fuerte,loud
primavera,spring
observar,observe
ni¤o,child
recta,straight
consonante,consonant
naci¢n,nation
diccionario,dictionary
leche,milk
velocidad,speed
m‚todo,method
¢rgano,organ
pagar,pay
edad,age
secci¢n,section
vestido,dress
nube,cloud
sorpresa,surprise
tranquila,quiet
piedra,stone
peque¤o,tiny
ascenso,climb
fresco,cool
dise¤o,design
pobre,poor
mucho,lot
experimento,experiment
inferior,bottom
clave,key
hierro,iron
sola,single
palillo,stick
plana,flat
veinte,twenty
piel,skin
sonrisa,smile
pliegue,crease
agujero,hole
saltar,jump
beb‚,baby
ocho,eight
pueblo,village
se re£nen,meet
ra¡z,root
comprar,buy
aumentar,raise
resolver,solve
de metal,metal
si,whether
empujar,push
siete,seven
p rrafo,paragraph
tercero,third
deber ,shall
en espera,held
pelo,hair
describir,describe
cocinero,cook
piso,floor
ya sea,either
resultado,result
quemar,burn
colina,hill
seguro,safe
gato,cat
siglo,century
considerar,consider
tipo,type
ley,law
bit,bit
costa,coast
copia,copy
frase,phrase
silencio,silent
de altura,tall
arena,sand
suelo,soil
rollo,roll
temperatura,temperature
dedo,finger
industria,industry
valor,value
lucha,fight
mentira,lie
batir,beat
excitar,excite
naturales,natural
vista,view
sentido,sense
de capital,capital
no lo har ,won?t
silla,chair
peligro,danger
fruta,fruit
rica,rich
de espesor,thick
soldado,soldier
proceso,process
operar,operate
pr ctica,practice
separada,separate
dif¡cil,difficult
m‚dico,doctor
por favor,please
proteger,protect
mediod¡a,noon
de cultivos,crop
moderno,modern
elemento,element
golpear,hit
estudiante,student
esquina,corner
partido,party
suministro,supply
cuya,whose
localizar,locate
anillo,ring
car cter,character
insecto,insect
capturado,caught
per¡odo,period
indicar,indicate
Radio,radio
habl¢,spoke
 tomo,atom
humana,human
historia,history
efecto,effect
el‚ctrica,electric
esperar,expect
hueso,bone
ferrocarril,rail
imaginar,imagine
proporcionar,provide
acuerdo,agree
"por tanto,",thus
suave,gentle
mujer,woman
capit n,captain
adivinar,guess
necesario,necessary
agudo,sharp
ala,wing
crear,create
vecino,neighbor
lavado,wash
bate,bat
m s bien,rather
multitud,crowd
ma¡z,corn
comparar,compare
poema,poem
cadena,string
campana,bell
depender ,depend
carne,meat
frotar,rub
tubo,tube
famoso,famous
d¢lar,dollar
corriente,stream
miedo,fear
vista,sight
delgado,thin
tri ngulo,triangle
planeta,planet
prisa,hurry
jefe,chief
colonia,colony
reloj,clock
mina,mine
empate,tie
entrar,enter
importante,major
fresco,fresh
b£squeda,search
enviar,send
amarillo,yellow
pistola,gun
permitir,allow
print,print
muerto,dead
lugar,spot
desierto,desert
traje,suit
actual,current
ascensor,lift
rosa,rose
llegar,arrive
master,master
pista,track
padre,parent
orilla,shore
divisi¢n,division
hoja,sheet
sustancia,substance
favorecer,favor
conectar,connect
mensaje,post
pasar,spend
acorde,chord
grasa,fat
contento,glad
originales,original
cuota,share
estaci¢n,station
pap ,dad
pan,bread
cobrar,charge
adecuada,proper
barra,bar
oferta,offer
segmento,segment
esclavo,slave
pato,duck
instant nea,instant
mercado,market
grado,degree
poblar,populate
polluelo,chick
querido,dear
enemigo,enemy
responder,reply
bebida,drink
producirse,occur
apoyo,support
discurso,speech
naturaleza,nature
alcance,range
vapor,steam
movimiento,motion
camino,path
l¡quido,liquid
log,log
significado,meant
cociente,quotient
dientes,teeth
concha,shell
cuello,neck
ox¡geno,oxygen
az£car,sugar
muerte,death
bastante,pretty
habilidad,skill
mujeres,women
temporada,season
soluci¢n,solution
im n,magnet
plata,silver
gracias,thank
rama,branch
partido,match
sufijo,suffix
especialmente,especially
higo,fig
miedo,afraid
enorme,huge
hermana,sister
acero,steel
discutir,discuss
adelante,forward
similar,similar
guiar,guide
experiencia,experience
puntuaci¢n,score
manzana,apple
comprado,bought
llevado,led
pitch,pitch
abrigo,coat
masa,mass
tarjeta,card
banda,band
cuerda,rope
deslizamiento,slip
ganar,win
so¤ar,dream
noche,evening
condici¢n,condition
pienso,feed
herramienta,tool
totales,total
b sico,basic
olor,smell
valle,valley
ni,nor
doble,double
asiento,seat
continuar,continue
bloque,block
tabla,chart
sombrero,hat
vender,sell
‚xito,success
empresa,company
restar,subtract
evento,event
"particular,",particular
acuerdo,deal
nadar,swim
plazo,term
opuesta,opposite
esposa,wife
zapato,shoe
hombro,shoulder
propagaci¢n,spread
organizar,arrange
campamento,camp
inventar,invent
algod¢n,cotton
nacido,born
determinar,determine
cuarto de gal¢n,quart
nueve,nine
cami¢n,truck
ruido,noise
nivel,level
oportunidad,chance
reunir,gather
tienda,shop
tramo,stretch
lanzar,throw
brillo,shine
propiedad,property
columna,column
mol‚cula,molecule
seleccionar,select
mal,wrong
gris,gray
repita,repeat
exigir,require
amplio,broad
preparar,prepare
sal,salt
nariz,nose
plurales,plural
c¢lera,anger
reclamaci¢n,claim
continente,continent
